/.hta (Status: 403) [Size: 292]
/.hta.txt (Status: 403) [Size: 296]
/.hta.html (Status: 403) [Size: 297]
/.hta.php (Status: 403) [Size: 296]
/.hta.asp (Status: 403) [Size: 296]
/.hta.aspx (Status: 403) [Size: 297]
/.hta.jsp (Status: 403) [Size: 296]
/.htpasswd (Status: 403) [Size: 297]
/.htpasswd.jsp (Status: 403) [Size: 301]
/.htpasswd.txt (Status: 403) [Size: 301]
/.htpasswd.html (Status: 403) [Size: 302]
/.htpasswd.php (Status: 403) [Size: 301]
/.htpasswd.asp (Status: 403) [Size: 301]
/.htpasswd.aspx (Status: 403) [Size: 302]
/.htaccess (Status: 403) [Size: 297]
/.htaccess.asp (Status: 403) [Size: 301]
/.htaccess.aspx (Status: 403) [Size: 302]
/.htaccess.jsp (Status: 403) [Size: 301]
/.htaccess.txt (Status: 403) [Size: 301]
/.htaccess.html (Status: 403) [Size: 302]
/.htaccess.php (Status: 403) [Size: 301]
/index.html (Status: 200) [Size: 54]
/index.html (Status: 200) [Size: 54]
/server-status (Status: 403) [Size: 301]
